mood_match_score,pace_compatibility_score,budget_match_score,distance_score,group_score,rating_score,selected
90.0,85.0,95.0,90.0,85.0,90.0,1.0
20.0,30.0,15.0,40.0,35.0,45.0,0.0
85.0,80.0,90.0,80.0,80.0,85.0,1.0
15.0,25.0,10.0,55.0,30.0,40.0,0.0
95.0,90.0,100.0,95.0,90.0,95.0,1.0
30.0,35.0,20.0,60.0,45.0,50.0,0.0
80.0,75.0,85.0,70.0,75.0,80.0,1.0
25.0,20.0,25.0,30.0,40.0,30.0,0.0
75.0,70.0,80.0,65.0,70.0,75.0,1.0
10.0,15.0,5.0,20.0,20.0,20.0,0.0
92.0,88.0,98.0,92.0,88.0,92.0,1.0
40.0,45.0,35.0,50.0,50.0,60.0,0.0
88.0,82.0,92.0,85.0,85.0,88.0,1.0
35.0,30.0,30.0,45.0,40.0,55.0,0.0
86.0,84.0,88.0,82.0,82.0,86.0,1.0
45.0,40.0,40.0,40.0,45.0,50.0,0.0
84.0,82.0,86.0,80.0,80.0,84.0,1.0
50.0,55.0,45.0,35.0,50.0,45.0,0.0
82.0,80.0,84.0,78.0,78.0,82.0,1.0
48.0,42.0,38.0,30.0,48.0,40.0,0.0
80.0,78.0,82.0,76.0,76.0,80.0,1.0
38.0,38.0,28.0,28.0,38.0,38.0,0.0
78.0,76.0,80.0,74.0,74.0,78.0,1.0
36.0,36.0,26.0,26.0,36.0,36.0,0.0
76.0,74.0,78.0,72.0,72.0,76.0,1.0
34.0,34.0,24.0,24.0,34.0,34.0,0.0
74.0,72.0,76.0,70.0,70.0,74.0,1.0
32.0,32.0,22.0,22.0,32.0,32.0,0.0
72.0,70.0,74.0,68.0,68.0,72.0,1.0
30.0,30.0,20.0,20.0,30.0,30.0,0.0
70.0,68.0,72.0,66.0,66.0,70.0,1.0
28.0,28.0,18.0,18.0,28.0,28.0,0.0
68.0,66.0,70.0,64.0,64.0,68.0,1.0
26.0,26.0,16.0,16.0,26.0,26.0,0.0
66.0,64.0,68.0,62.0,62.0,66.0,1.0
24.0,24.0,14.0,14.0,24.0,24.0,0.0
64.0,62.0,66.0,60.0,60.0,64.0,1.0
22.0,22.0,12.0,12.0,22.0,22.0,0.0
62.0,60.0,64.0,58.0,58.0,62.0,1.0
20.0,20.0,10.0,10.0,20.0,20.0,0.0
90.0,30.0,90.0,90.0,80.0,85.0,0.0
90.0,90.0,20.0,90.0,80.0,85.0,0.0
90.0,90.0,90.0,10.0,80.0,85.0,0.0
90.0,90.0,90.0,90.0,30.0,85.0,0.0
90.0,90.0,90.0,90.0,80.0,30.0,0.0
30.0,90.0,90.0,90.0,80.0,85.0,0.0
85.0,75.0,90.0,85.0,75.0,80.0,1.0
80.0,85.0,75.0,80.0,85.0,85.0,1.0
75.0,80.0,85.0,75.0,80.0,90.0,1.0
85.0,85.0,80.0,85.0,85.0,75.0,1.0
20.0,80.0,80.0,80.0,80.0,80.0,0.0
80.0,20.0,80.0,80.0,80.0,80.0,0.0
80.0,80.0,20.0,80.0,80.0,80.0,0.0
80.0,80.0,80.0,20.0,80.0,80.0,0.0
80.0,80.0,80.0,80.0,20.0,80.0,0.0
80.0,80.0,80.0,80.0,80.0,20.0,0.0
95.0,95.0,95.0,95.0,95.0,95.0,1.0
98.0,98.0,98.0,98.0,98.0,98.0,1.0
15.0,15.0,15.0,15.0,15.0,15.0,0.0
12.0,12.0,12.0,12.0,12.0,12.0,0.0
70.0,70.0,70.0,70.0,70.0,70.0,1.0
65.0,65.0,65.0,65.0,65.0,65.0,1.0
55.0,55.0,55.0,55.0,55.0,55.0,0.0
50.0,50.0,50.0,50.0,50.0,50.0,0.0
75.0,75.0,75.0,75.0,75.0,75.0,1.0
88.0,92.0,85.0,90.0,91.0,89.0,1.0
91.0,89.0,92.0,85.0,90.0,91.0,1.0
89.0,91.0,89.0,92.0,85.0,90.0,1.0
92.0,85.0,90.0,91.0,89.0,92.0,1.0
85.0,90.0,91.0,89.0,92.0,85.0,1.0
30.0,85.0,90.0,91.0,89.0,92.0,0.0
85.0,30.0,90.0,91.0,89.0,92.0,0.0
85.0,90.0,30.0,91.0,89.0,92.0,0.0
85.0,90.0,91.0,30.0,89.0,92.0,0.0
85.0,90.0,91.0,89.0,30.0,92.0,0.0
85.0,90.0,91.0,89.0,92.0,30.0,0.0
78.0,82.0,80.0,85.0,82.0,84.0,1.0
82.0,80.0,85.0,82.0,84.0,78.0,1.0
80.0,85.0,82.0,84.0,78.0,82.0,1.0
85.0,82.0,84.0,78.0,82.0,80.0,1.0
82.0,84.0,78.0,82.0,80.0,85.0,1.0
84.0,78.0,82.0,80.0,85.0,82.0,1.0
25.0,82.0,80.0,85.0,82.0,84.0,0.0
82.0,25.0,80.0,85.0,82.0,84.0,0.0
82.0,80.0,25.0,85.0,82.0,84.0,0.0
82.0,80.0,85.0,25.0,82.0,84.0,0.0
